"(Source)","Category","高屏區"
"2022-2022-20220101-20221南區","0",""
"2022-2022-20220101-20221南區","1",""
"2022-2022-20220101-20221南區","2",""
"2022-2022-20220101-20221南區","3",""
"2022-2022-20220101-20221中區","0",""
"2022-2022-20220101-20221中區","1",""
"2022-2022-20220101-20221中區","2",""
"2022-2022-20220101-20221北區","0",""
"2022-2022-20220101-20221北區","1",""
"2022-2022-20220101-20221北區","2",""
"2022-2022-20220101-20221北區","3",""
"2022-2022-20220101-20221 台北區","0",""
"2022-2022-20220101-20221 台北區","1",""
"2022-2022-20220101-20221 台北區","2",""
"2022-2022-20220101-20221 台北區","3",""
"2022-2022-20220101-20221 台北區","4",""
"2022-2022-20220101-20221 台北區","5",""
"2022-2022-20220101-20221 台北區","6",""
"2022-2022-20220101-20221東區","0",""
"2022-2022-20220101-20221東區","1",""
"2022-2022-20220101-20221高屏區","0","63314"
"2022-2022-20220101-20221高屏區","1","4113"
"2022-2022-20220101-20221高屏區","2","243606"
